user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_001563875	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g19;s__B1-Br10-U2g19 sp001563875	GCA_001563875.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g19;s__B1-Br10-U2g19 sp001563875	100.0	0.98	GCA_001563875.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g19;s__B1-Br10-U2g19 sp001563875	100.0	0.98	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g19;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001563905.1, s__B1-Br10-U2g19 sp001563905, 95.0, 79.24, 0.37	83.94	11	N/A	N/A
GCA_001563915	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001563915	GCA_001563915.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001563915	100.0	0.98	GCA_001563915.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001563915	100.0	0.98	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001564035.1, s__B1-Br10-U2g21 sp001564035, 95.0, 79.24, 0.4	77.55	11	N/A	N/A
GCA_001563995	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__PL-Br10-U2g16;s__PL-Br10-U2g16 sp001563995	GCA_001563995.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__PL-Br10-U2g16;s__PL-Br10-U2g16 sp001563995	100.0	0.97	GCA_001563995.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__PL-Br10-U2g16;s__PL-Br10-U2g16 sp001563995	100.0	0.97	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__PL-Br10-U2g16;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.45	11	N/A	N/A
GCA_001564145	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001564145	GCA_001564145.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001564145	100.0	0.97	GCA_001564145.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001564145	100.0	0.97	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	63.89	11	N/A	N/A
GCA_001595885	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;s__SG8-5 sp001595885	GCA_001595885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;s__SG8-5 sp001595885	100.0	0.97	GCA_001595885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;s__SG8-5 sp001595885	100.0	0.97	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.81	11	N/A	N/A
GCA_001723855	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__MCBC01;g__MCBC01;s__MCBC01 sp001723855	GCA_001723855.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__MCBC01;g__MCBC01;s__MCBC01 sp001723855	100.0	0.98	GCA_001723855.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__MCBC01;g__MCBC01;s__MCBC01 sp001723855	100.0	0.98	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	69.58	11	N/A	N/A
GCA_001742785	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__IMC4;g__IMC4;s__IMC4 sp001742785	GCA_001742785.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__IMC4;g__IMC4;s__IMC4 sp001742785	100.0	1.0	GCA_001742785.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__IMC4;g__IMC4;s__IMC4 sp001742785	100.0	1.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.23	11	N/A	N/A
GCA_001761425	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__Nanohalobium sp001761425	GCA_001761425.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__Nanohalobium sp001761425	100.0	1.0	GCA_001761425.1	95.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__Nanohalobium sp001761425	100.0	1.0	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.63	11	N/A	N/A
GCA_001766815	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Syntropharchaeales;f__Syntropharchaeaceae;g__Syntropharchaeum_A;s__Syntropharchaeum_A caldarius	GCA_001766815.1	95.0	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Syntropharchaeales;f__Syntropharchaeaceae;g__Syntropharchaeum_A;s__Syntropharchaeum_A caldarius	100.0	1.0	GCA_001766815.1	95.0	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Syntropharchaeales;f__Syntropharchaeaceae;g__Syntropharchaeum_A;s__Syntropharchaeum_A caldarius	100.0	1.0	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Syntropharchaeales;f__Syntropharchaeaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.42	11	N/A	N/A
GCA_001775995	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__RBG-16-48-13;g__RBG-16-48-13;s__RBG-16-48-13 sp001775995	GCA_001775995.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__RBG-16-48-13;g__RBG-16-48-13;s__RBG-16-48-13 sp001775995	100.0	1.0	GCA_001775995.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__RBG-16-48-13;g__RBG-16-48-13;s__RBG-16-48-13 sp001775995	100.0	1.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.47	11	N/A	N/A
GCA_001800815	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21 sp001800815	GCA_001800815.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21 sp001800815	100.0	0.99	GCA_001800815.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21 sp001800815	100.0	0.99	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001800675.1, s__COMBO-56-21 sp001800675, 95.0, 85.41, 0.82; GCA_018814355.1, s__COMBO-56-21 sp018814355, 95.0, 78.27, 0.31; GCA_016930135.1, s__COMBO-56-21 sp016930135, 95.0, 77.49, 0.27	86.88	11	N/A	N/A
GCA_001800825	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp001800825	GCA_001800825.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp001800825	100.0	0.99	GCA_001800825.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp001800825	100.0	0.99	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001800745.1, s__RBG-16-68-12 sp001800745, 95.0, 81.2, 0.67; GCA_011362635.1, s__RBG-16-68-12 sp011362635, 95.0, 79.18, 0.55; GCA_013329855.1, s__RBG-16-68-12 sp8695u, 95.0, 78.68, 0.48; GCA_005878415.1, s__RBG-16-68-12 sp005878415, 95.0, 78.67, 0.44; GCA_005879065.1, s__RBG-16-68-12 sp005879065, 95.0, 78.27, 0.34; GCA_005878635.1, s__RBG-16-68-12 sp005878635, 95.0, 78.18, 0.35; GCA_005878665.1, s__RBG-16-68-12 sp005878665, 95.0, 78.14, 0.32; GCA_005879015.1, s__RBG-16-68-12 sp005879015, 95.0, 78.07, 0.32; GCA_005878615.1, s__RBG-16-68-12 sp005878615, 95.0, 78.06, 0.34; GCA_005878995.1, s__RBG-16-68-12 sp005878995, 95.0, 78.01, 0.38; GCA_011331255.1, s__RBG-16-68-12 sp011331255, 95.0, 77.98, 0.36; GCA_005878485.1, s__RBG-16-68-12 sp005878485, 95.0, 77.97, 0.35; GCA_005878985.1, s__RBG-16-68-12 sp005878985, 95.0, 77.92, 0.34; GCA_005878525.1, s__RBG-16-68-12 sp005878525, 95.0, 77.92, 0.35; GCA_005878515.1, s__RBG-16-68-12 sp005878515, 95.0, 77.92, 0.32; GCA_005879045.1, s__RBG-16-68-12 sp005879045, 95.0, 77.83, 0.35; GCA_005878325.1, s__RBG-16-68-12 sp005878325, 95.0, 77.74, 0.34; GCA_005878385.1, s__RBG-16-68-12 sp005878385, 95.0, 77.51, 0.32	82.85	11	N/A	N/A
GCA_001856825	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__GCA-001856825;g__GCA-001856825;s__GCA-001856825 sp001856825	GCA_001856825.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__GCA-001856825;g__GCA-001856825;s__GCA-001856825 sp001856825	100.0	1.0	GCA_001856825.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__GCA-001856825;g__GCA-001856825;s__GCA-001856825 sp001856825	100.0	1.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__GCA-001856825;g__GCA-001856825;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_014874235.1, s__GCA-001856825 sp014874235, 95.0, 77.57, 0.28	96.12	11	N/A	N/A
GCA_001871475	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__CG1-02-47-40;g__CG1-02-47-40;s__CG1-02-47-40 sp001871475	GCA_001871475.1	95.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__CG1-02-47-40;g__CG1-02-47-40;s__CG1-02-47-40 sp001871475	100.0	1.0	GCA_001871475.1	95.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__CG1-02-47-40;g__CG1-02-47-40;s__CG1-02-47-40 sp001871475	100.0	1.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.18	11	N/A	N/A
GCA_001871595	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__UBA97;g__UBA97;s__UBA97 sp001871595	GCA_001871595.1	95.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__UBA97;g__UBA97;s__UBA97 sp001871595	100.0	0.99	GCA_001871595.1	95.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__UBA97;g__UBA97;s__UBA97 sp001871595	100.0	0.99	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__UBA97;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.99	11	N/A	N/A
GCA_001872185	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MNVX01;s__MNVX01 sp001872185	GCA_001872185.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MNVX01;s__MNVX01 sp001872185	100.0	1.0	GCA_001872185.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MNVX01;s__MNVX01 sp001872185	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MNVX01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018304325.1, s__MNVX01 sp018304325, 95.0, 79.73, 0.47	66.56	11	N/A	N/A
GCA_001872315	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__CG1-02-39-14;s__CG1-02-39-14 sp001872315	GCA_001872315.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__CG1-02-39-14;s__CG1-02-39-14 sp001872315	100.0	0.99	GCA_001872315.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__CG1-02-39-14;s__CG1-02-39-14 sp001872315	100.0	0.99	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.4	11	N/A	N/A
GCA_001873845	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Altiarchaeum;s__Altiarchaeum hamiconexum	GCA_001873845.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Altiarchaeum;s__Altiarchaeum hamiconexum	100.0	0.98	GCA_001873845.1	95.0	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Altiarchaeum;s__Altiarchaeum hamiconexum	100.0	0.98	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Altiarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002083985.1, s__Altiarchaeum sp002083985, 95.0, 83.33, 0.53; GCA_018260615.1, s__Altiarchaeum sp002841105, 95.0, 83.03, 0.7; GCA_018260755.1, s__Altiarchaeum sp018260755, 95.0, 81.91, 0.59	86.88	11	N/A	N/A
